Setting TERRIER_HOME to /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0
FATAL - Failed to load index. Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
A problem occurred: java.lang.IllegalArgumentException: Failed to load index: Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
java.lang.IllegalArgumentException: Failed to load index: Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
	at org.terrier.applications.batchquerying.TRECQuerying.loadIndex(TRECQuerying.java:359)
	at org.terrier.applications.batchquerying.TRECQuerying.<init>(TRECQuerying.java:270)
	at org.terrier.applications.TrecTerrier.run(TrecTerrier.java:414)
	at org.terrier.applications.TrecTerrier.applyOptions(TrecTerrier.java:588)
	at org.terrier.applications.TrecTerrier.main(TrecTerrier.java:245)
P_15                  	809	0.6667
P_20                  	809	0.6500
P_30                  	809	0.6000
P_100                 	809	0.4700
P_200                 	809	0.3700
P_500                 	809	0.2300
P_1000                	809	0.1340
num_ret               	810	1000
num_rel               	810	16
num_rel_ret           	810	16
map                   	810	0.3936
Rprec                 	810	0.4375
bpref                 	810	0.3633
recip_rank            	810	1.0000
iprec_at_recall_0.00  	810	1.0000
iprec_at_recall_0.10  	810	1.0000
iprec_at_recall_0.20  	810	0.5714
iprec_at_recall_0.30  	810	0.5000
iprec_at_recall_0.40  	810	0.4444
iprec_at_recall_0.50  	810	0.4444
iprec_at_recall_0.60  	810	0.2000
iprec_at_recall_0.70  	810	0.1600
iprec_at_recall_0.80  	810	0.1300
iprec_at_recall_0.90  	810	0.0435
iprec_at_recall_1.00  	810	0.0435
P_5                   	810	0.6000
P_10                  	810	0.4000
P_15                  	810	0.4000
P_20                  	810	0.4000
P_30                  	810	0.2667
P_100                 	810	0.1300
P_200                 	810	0.0700
P_500                 	810	0.0320
P_1000                	810	0.0160
num_ret               	811	1000
num_rel               	811	66
num_rel_ret           	811	44
map                   	811	0.2211
Rprec                 	811	0.3485
bpref                 	811	0.2950
recip_rank            	811	0.2500
iprec_at_recall_0.00  	811	0.6667
iprec_at_recall_0.10  	811	0.6667
iprec_at_recall_0.20  	811	0.5625
iprec_at_recall_0.30  	811	0.4884
iprec_at_recall_0.40  	811	0.1376
iprec_at_recall_0.50  	811	0.0826
iprec_at_recall_0.60  	811	0.0810
iprec_at_recall_0.70  	811	0.0000
iprec_at_recall_0.80  	811	0.0000
iprec_at_recall_0.90  	811	0.0000
iprec_at_recall_1.00  	811	0.0000
P_5                   	811	0.4000
P_10                  	811	0.6000
P_15                  	811	0.6667
P_20                  	811	0.5500
P_30                  	811	0.5333
P_100                 	811	0.2400
P_200                 	811	0.1300
P_500                 	811	0.0800
P_1000                	811	0.0440
num_ret               	812	1000
num_rel               	812	130
num_rel_ret           	812	112
map                   	812	0.5605
Rprec                 	812	0.6077
bpref                 	812	0.6417
recip_rank            	812	1.0000
iprec_at_recall_0.00  	812	1.0000
iprec_at_recall_0.10  	812	0.9167
iprec_at_recall_0.20  	812	0.8000
iprec_at_recall_0.30  	812	0.8000
iprec_at_recall_0.40  	812	0.8000
iprec_at_recall_0.50  	812	0.7558
iprec_at_recall_0.60  	812	0.6842
iprec_at_recall_0.70  	812	0.4439
iprec_at_recall_0.80  	812	0.1955
iprec_at_recall_0.90  	812	0.0000
iprec_at_recall_1.00  	812	0.0000
P_5                   	812	0.6000
P_10                  	812	0.8000
P_15                  	812	0.8667
P_20                  	812	0.9000
P_30                  	812	0.8000
P_100                 	812	0.7300
P_200                 	812	0.4500
P_500                 	812	0.2040
P_1000                	812	0.1120
num_ret               	813	1000
num_rel               	813	117
num_rel_ret           	813	87
map                   	813	0.3630
Rprec                 	813	0.4274
bpref                 	813	0.4027
recip_rank            	813	1.0000
iprec_at_recall_0.00  	813	1.0000
iprec_at_recall_0.10  	813	1.0000
iprec_at_recall_0.20  	813	0.7222
iprec_at_recall_0.30  	813	0.4937
iprec_at_recall_0.40  	813	0.4608
iprec_at_recall_0.50  	813	0.2744
iprec_at_recall_0.60  	813	0.1240
iprec_at_recall_0.70  	813	0.1088
iprec_at_recall_0.80  	813	0.0000
iprec_at_recall_0.90  	813	0.0000
iprec_at_recall_1.00  	813	0.0000
P_5                   	813	1.0000
P_10                  	813	1.0000
P_15                  	813	1.0000
P_20                  	813	0.8500
P_30                  	813	0.7000
P_100                 	813	0.4500
P_200                 	813	0.2850
P_500                 	813	0.1380
P_1000                	813	0.0870
num_ret               	814	1000
num_rel               	814	157
num_rel_ret           	814	149
map                   	814	0.6939
Rprec                 	814	0.7006
bpref                 	814	0.7801
recip_rank            	814	1.0000
iprec_at_recall_0.00  	814	1.0000
iprec_at_recall_0.10  	814	0.8929
iprec_at_recall_0.20  	814	0.8649
iprec_at_recall_0.30  	814	0.8421
iprec_at_recall_0.40  	814	0.8182
iprec_at_recall_0.50  	814	0.8148
iprec_at_recall_0.60  	814	0.7313
iprec_at_recall_0.70  	814	0.7097
iprec_at_recall_0.80  	814	0.5664
iprec_at_recall_0.90  	814	0.3107
iprec_at_recall_1.00  	814	0.0000
P_5                   	814	0.8000
P_10                  	814	0.9000
P_15                  	814	0.8667
P_20                  	814	0.8500
P_30                  	814	0.8333
P_100                 	814	0.8100
P_200                 	814	0.5900
P_500                 	814	0.2860
P_1000                	814	0.1490
num_ret               	815	1000
num_rel               	815	134
num_rel_ret           	815	94
map                   	815	0.1809
Rprec                 	815	0.2836
bpref                 	815	0.2472
recip_rank            	815	0.3333
iprec_at_recall_0.00  	815	0.4667
iprec_at_recall_0.10  	815	0.3966
iprec_at_recall_0.20  	815	0.3148
iprec_at_recall_0.30  	815	0.2877
iprec_at_recall_0.40  	815	0.2571
iprec_at_recall_0.50  	815	0.1898
iprec_at_recall_0.60  	815	0.1480
iprec_at_recall_0.70  	815	0.0976
iprec_at_recall_0.80  	815	0.0000
iprec_at_recall_0.90  	815	0.0000
iprec_at_recall_1.00  	815	0.0000
P_5                   	815	0.2000
P_10                  	815	0.3000
P_15                  	815	0.4667
P_20                  	815	0.3500
P_30                  	815	0.3333
P_100                 	815	0.3000
P_200                 	815	0.2350
P_500                 	815	0.1560
P_1000                	815	0.0940
num_ret               	816	1000
num_rel               	816	23
num_rel_ret           	816	21
map                   	816	0.7292
Rprec                 	816	0.5652
bpref                 	816	0.6994
recip_rank            	816	1.0000
iprec_at_recall_0.00  	816	1.0000
iprec_at_recall_0.10  	816	1.0000
iprec_at_recall_0.20  	816	1.0000
iprec_at_recall_0.30  	816	0.9167
iprec_at_recall_0.40  	816	0.9167
iprec_at_recall_0.50  	816	0.8667
iprec_at_recall_0.60  	816	0.6154
iprec_at_recall_0.70  	816	0.6154
iprec_at_recall_0.80  	816	0.5938
iprec_at_recall_0.90  	816	0.3889
iprec_at_recall_1.00  	816	0.0000
P_5                   	816	1.0000
P_10                  	816	0.9000
P_15                  	816	0.8667
P_20                  	816	0.6500
P_30                  	816	0.5667
P_100                 	816	0.2100
P_200                 	816	0.1050
P_500                 	816	0.0420
P_1000                	816	0.0210
num_ret               	817	1000
num_rel               	817	111
num_rel_ret           	817	80
map                   	817	0.2913
Rprec                 	817	0.3333
bpref                 	817	0.3199
recip_rank            	817	1.0000
iprec_at_recall_0.00  	817	1.0000
iprec_at_recall_0.10  	817	0.7143
iprec_at_recall_0.20  	817	0.6389
iprec_at_recall_0.30  	817	0.3465
iprec_at_recall_0.40  	817	0.2968
iprec_at_recall_0.50  	817	0.2511
iprec_at_recall_0.60  	817	0.1370
iprec_at_recall_0.70  	817	0.0984
iprec_at_recall_0.80  	817	0.0000
iprec_at_recall_0.90  	817	0.0000
iprec_at_recall_1.00  	817	0.0000
P_5                   	817	1.0000
P_10                  	817	0.9000
P_15                  	817	0.7333
P_20                  	817	0.7000
P_30                  	817	0.6333
P_100                 	817	0.3400
P_200                 	817	0.2650
P_500                 	817	0.1340
P_1000                	817	0.0800
num_ret               	818	1000
num_rel               	818	88
num_rel_ret           	818	82
map                   	818	0.4651
Rprec                 	818	0.4318
bpref                 	818	0.4162
recip_rank            	818	1.0000
iprec_at_recall_0.00  	818	1.0000
iprec_at_recall_0.10  	818	1.0000
iprec_at_recall_0.20  	818	0.5882
iprec_at_recall_0.30  	818	0.5000
iprec_at_recall_0.40  	818	0.4419
iprec_at_recall_0.50  	818	0.4245
iprec_at_recall_0.60  	818	0.4030
iprec_at_recall_0.70  	818	0.3899
iprec_at_recall_0.80  	818	0.1859
iprec_at_recall_0.90  	818	0.1138
iprec_at_recall_1.00  	818	0.0000
P_5                   	818	1.0000
P_10                  	818	1.0000
P_15                  	818	0.8667
P_20                  	818	0.8000
P_30                  	818	0.5667
P_100                 	818	0.4200
P_200                 	818	0.3250
P_500                 	818	0.1540
P_1000                	818	0.0820
num_ret               	819	1000
num_rel               	819	146
num_rel_ret           	819	134
map                   	819	0.5427
Rprec                 	819	0.5274
bpref                 	819	0.7010
recip_rank            	819	1.0000
iprec_at_recall_0.00  	819	1.0000
iprec_at_recall_0.10  	819	1.0000
iprec_at_recall_0.20  	819	0.8049
iprec_at_recall_0.30  	819	0.6761
iprec_at_recall_0.40  	819	0.6526
iprec_at_recall_0.50  	819	0.5274
iprec_at_recall_0.60  	819	0.5146
iprec_at_recall_0.70  	819	0.4008
iprec_at_recall_0.80  	819	0.3172
iprec_at_recall_0.90  	819	0.1712
iprec_at_recall_1.00  	819	0.0000
P_5                   	819	1.0000
P_10                  	819	1.0000
P_15                  	819	1.0000
P_20                  	819	0.9500
P_30                  	819	0.8333
P_100                 	819	0.6300
P_200                 	819	0.4500
P_500                 	819	0.2440
P_1000                	819	0.1340
num_ret               	820	1000
num_rel               	820	261
num_rel_ret           	820	255
map                   	820	0.7780
Rprec                 	820	0.7433
bpref                 	820	0.9070
recip_rank            	820	1.0000
iprec_at_recall_0.00  	820	1.0000
iprec_at_recall_0.10  	820	0.9080
iprec_at_recall_0.20  	820	0.9080
iprec_at_recall_0.30  	820	0.9080
iprec_at_recall_0.40  	820	0.8992
iprec_at_recall_0.50  	820	0.8986
iprec_at_recall_0.60  	820	0.8827
iprec_at_recall_0.70  	820	0.7686
iprec_at_recall_0.80  	820	0.6830
iprec_at_recall_0.90  	820	0.5043
iprec_at_recall_1.00  	820	0.0000
P_5                   	820	0.6000
P_10                  	820	0.8000
P_15                  	820	0.8667
P_20                  	820	0.9000
P_30                  	820	0.8333
P_100                 	820	0.8800
P_200                 	820	0.8350
P_500                 	820	0.4740
P_1000                	820	0.2550
num_ret               	821	1000
num_rel               	821	64
num_rel_ret           	821	49
map                   	821	0.2396
Rprec                 	821	0.3438
bpref                 	821	0.2825
recip_rank            	821	1.0000
iprec_at_recall_0.00  	821	1.0000
iprec_at_recall_0.10  	821	0.5385
iprec_at_recall_0.20  	821	0.5385
iprec_at_recall_0.30  	821	0.3818
iprec_at_recall_0.40  	821	0.3059
iprec_at_recall_0.50  	821	0.2192
iprec_at_recall_0.60  	821	0.1384
iprec_at_recall_0.70  	821	0.0618
iprec_at_recall_0.80  	821	0.0000
iprec_at_recall_0.90  	821	0.0000
iprec_at_recall_1.00  	821	0.0000
P_5                   	821	0.6000
P_10                  	821	0.4000
P_15                  	821	0.4667
P_20                  	821	0.4500
P_30                  	821	0.5000
P_100                 	821	0.2900
P_200                 	821	0.1750
P_500                 	821	0.0820
P_1000                	821	0.0490
num_ret               	822	1000
num_rel               	822	42
num_rel_ret           	822	39
map                   	822	0.1657
Rprec                 	822	0.1429
bpref                 	822	0.1083
recip_rank            	822	0.3333
iprec_at_recall_0.00  	822	0.3333
iprec_at_recall_0.10  	822	0.2632
iprec_at_recall_0.20  	822	0.2151
iprec_at_recall_0.30  	822	0.2151
iprec_at_recall_0.40  	822	0.2151
iprec_at_recall_0.50  	822	0.2039
iprec_at_recall_0.60  	822	0.2016
iprec_at_recall_0.70  	822	0.1695
iprec_at_recall_0.80  	822	0.0992
iprec_at_recall_0.90  	822	0.0874
iprec_at_recall_1.00  	822	0.0000
P_5                   	822	0.2000
P_10                  	822	0.2000
P_15                  	822	0.2667
P_20                  	822	0.2500
P_30                  	822	0.2000
P_100                 	822	0.2000
P_200                 	822	0.1550
P_500                 	822	0.0760
P_1000                	822	0.0390
num_ret               	823	1000
num_rel               	823	126
num_rel_ret           	823	95
map                   	823	0.3073
Rprec                 	823	0.4048
bpref                 	823	0.4119
recip_rank            	823	0.5000
iprec_at_recall_0.00  	823	0.7500
iprec_at_recall_0.10  	823	0.6250
iprec_at_recall_0.20  	823	0.5085
iprec_at_recall_0.30  	823	0.4634
iprec_at_recall_0.40  	823	0.4366
iprec_at_recall_0.50  	823	0.4228
iprec_at_recall_0.60  	823	0.3193
iprec_at_recall_0.70  	823	0.1496
iprec_at_recall_0.80  	823	0.0000
iprec_at_recall_0.90  	823	0.0000
iprec_at_recall_1.00  	823	0.0000
P_5                   	823	0.6000
P_10                  	823	0.4000
P_15                  	823	0.4000
P_20                  	823	0.5000
P_30                  	823	0.6000
P_100                 	823	0.4300
P_200                 	823	0.3350
P_500                 	823	0.1680
P_1000                	823	0.0950
num_ret               	824	1000
num_rel               	824	365
num_rel_ret           	824	263
map                   	824	0.4300
Rprec                 	824	0.4575
bpref                 	824	0.6274
recip_rank            	824	1.0000
iprec_at_recall_0.00  	824	1.0000
iprec_at_recall_0.10  	824	0.9512
iprec_at_recall_0.20  	824	0.7653
iprec_at_recall_0.30  	824	0.6032
iprec_at_recall_0.40  	824	0.5196
iprec_at_recall_0.50  	824	0.4208
iprec_at_recall_0.60  	824	0.3359
iprec_at_recall_0.70  	824	0.2777
iprec_at_recall_0.80  	824	0.0000
iprec_at_recall_0.90  	824	0.0000
iprec_at_recall_1.00  	824	0.0000
P_5                   	824	1.0000
P_10                  	824	1.0000
P_15                  	824	1.0000
P_20                  	824	1.0000
P_30                  	824	0.9667
P_100                 	824	0.7600
P_200                 	824	0.5850
P_500                 	824	0.3880
P_1000                	824	0.2630
num_ret               	825	1000
num_rel               	825	113
num_rel_ret           	825	81
map                   	825	0.0730
Rprec                 	825	0.1327
bpref                 	825	0.0869
recip_rank            	825	1.0000
iprec_at_recall_0.00  	825	1.0000
iprec_at_recall_0.10  	825	0.1707
iprec_at_recall_0.20  	825	0.1463
iprec_at_recall_0.30  	825	0.0861
iprec_at_recall_0.40  	825	0.0828
iprec_at_recall_0.50  	825	0.0828
iprec_at_recall_0.60  	825	0.0828
iprec_at_recall_0.70  	825	0.0828
iprec_at_recall_0.80  	825	0.0000
iprec_at_recall_0.90  	825	0.0000
iprec_at_recall_1.00  	825	0.0000
P_5                   	825	0.2000
P_10                  	825	0.1000
P_15                  	825	0.0667
P_20                  	825	0.0500
P_30                  	825	0.0333
P_100                 	825	0.0700
P_200                 	825	0.1200
P_500                 	825	0.0780
P_1000                	825	0.0810
num_ret               	826	1000
num_rel               	826	172
num_rel_ret           	826	115
map                   	826	0.2803
Rprec                 	826	0.3721
bpref                 	826	0.4238
recip_rank            	826	0.2500
iprec_at_recall_0.00  	826	0.7049
iprec_at_recall_0.10  	826	0.7049
iprec_at_recall_0.20  	826	0.7049
iprec_at_recall_0.30  	826	0.5200
iprec_at_recall_0.40  	826	0.3418
iprec_at_recall_0.50  	826	0.2590
iprec_at_recall_0.60  	826	0.1595
iprec_at_recall_0.70  	826	0.0000
iprec_at_recall_0.80  	826	0.0000
iprec_at_recall_0.90  	826	0.0000
iprec_at_recall_1.00  	826	0.0000
P_5                   	826	0.2000
P_10                  	826	0.3000
P_15                  	826	0.4000
P_20                  	826	0.5500
P_30                  	826	0.6000
P_100                 	826	0.5200
P_200                 	826	0.3350
P_500                 	826	0.1960
P_1000                	826	0.1150
num_ret               	827	1000
num_rel               	827	52
num_rel_ret           	827	51
map                   	827	0.4129
Rprec                 	827	0.4231
bpref                 	827	0.3543
recip_rank            	827	1.0000
iprec_at_recall_0.00  	827	1.0000
iprec_at_recall_0.10  	827	0.4627
iprec_at_recall_0.20  	827	0.4627
iprec_at_recall_0.30  	827	0.4627
iprec_at_recall_0.40  	827	0.4627
iprec_at_recall_0.50  	827	0.4627
iprec_at_recall_0.60  	827	0.4507
iprec_at_recall_0.70  	827	0.4405
iprec_at_recall_0.80  	827	0.3853
iprec_at_recall_0.90  	827	0.2338
iprec_at_recall_1.00  	827	0.0000
P_5                   	827	0.8000
P_10                  	827	0.4000
P_15                  	827	0.2667
P_20                  	827	0.2000
P_30                  	827	0.3000
P_100                 	827	0.3900
P_200                 	827	0.2300
P_500                 	827	0.1020
P_1000                	827	0.0510
num_ret               	828	1000
num_rel               	828	134
num_rel_ret           	828	101
map                   	828	0.2378
Rprec                 	828	0.2537
bpref                 	828	0.2799
recip_rank            	828	1.0000
iprec_at_recall_0.00  	828	1.0000
iprec_at_recall_0.10  	828	0.7619
iprec_at_recall_0.20  	828	0.3103
iprec_at_recall_0.30  	828	0.2485
iprec_at_recall_0.40  	828	0.2298
iprec_at_recall_0.50  	828	0.1650
iprec_at_recall_0.60  	828	0.1486
iprec_at_recall_0.70  	828	0.1102
iprec_at_recall_0.80  	828	0.0000
iprec_at_recall_0.90  	828	0.0000
iprec_at_recall_1.00  	828	0.0000
P_5                   	828	0.8000
P_10                  	828	0.8000
P_15                  	828	0.8000
P_20                  	828	0.7500
P_30                  	828	0.5333
P_100                 	828	0.2800
P_200                 	828	0.2350
P_500                 	828	0.1500
P_1000                	828	0.1010
num_ret               	829	1000
num_rel               	829	24
num_rel_ret           	829	14
map                   	829	0.2189
Rprec                 	829	0.3333
bpref                 	829	0.2483
recip_rank            	829	1.0000
iprec_at_recall_0.00  	829	1.0000
iprec_at_recall_0.10  	829	0.8333
iprec_at_recall_0.20  	829	0.8333
iprec_at_recall_0.30  	829	0.3478
iprec_at_recall_0.40  	829	0.0980
iprec_at_recall_0.50  	829	0.0164
iprec_at_recall_0.60  	829	0.0000
iprec_at_recall_0.70  	829	0.0000
iprec_at_recall_0.80  	829	0.0000
iprec_at_recall_0.90  	829	0.0000
iprec_at_recall_1.00  	829	0.0000
P_5                   	829	0.8000
P_10                  	829	0.5000
P_15                  	829	0.3333
P_20                  	829	0.2500
P_30                  	829	0.2667
P_100                 	829	0.0900
P_200                 	829	0.0500
P_500                 	829	0.0200
P_1000                	829	0.0140
num_ret               	830	1000
num_rel               	830	29
num_rel_ret           	830	14
map                   	830	0.0359
Rprec                 	830	0.0690
bpref                 	830	0.0357
recip_rank            	830	0.1667
iprec_at_recall_0.00  	830	0.1667
iprec_at_recall_0.10  	830	0.1034
iprec_at_recall_0.20  	830	0.1034
iprec_at_recall_0.30  	830	0.0744
iprec_at_recall_0.40  	830	0.0339
iprec_at_recall_0.50  	830	0.0000
iprec_at_recall_0.60  	830	0.0000
iprec_at_recall_0.70  	830	0.0000
iprec_at_recall_0.80  	830	0.0000
iprec_at_recall_0.90  	830	0.0000
iprec_at_recall_1.00  	830	0.0000
P_5                   	830	0.0000
P_10                  	830	0.1000
P_15                  	830	0.0667
P_20                  	830	0.0500
P_30                  	830	0.0667
P_100                 	830	0.0800
P_200                 	830	0.0450
P_500                 	830	0.0260
P_1000                	830	0.0140
num_ret               	831	1000
num_rel               	831	34
num_rel_ret           	831	30
map                   	831	0.6355
Rprec                 	831	0.6471
bpref                 	831	0.6012
recip_rank            	831	1.0000
