Setting TERRIER_HOME to /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0
FATAL - Failed to load index. Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
A problem occurred: java.lang.IllegalArgumentException: Failed to load index: Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
java.lang.IllegalArgumentException: Failed to load index: Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
	at org.terrier.applications.batchquerying.TRECQuerying.loadIndex(TRECQuerying.java:359)
	at org.terrier.applications.batchquerying.TRECQuerying.<init>(TRECQuerying.java:270)
	at org.terrier.applications.TrecTerrier.run(TrecTerrier.java:414)
	at org.terrier.applications.TrecTerrier.applyOptions(TrecTerrier.java:588)
	at org.terrier.applications.TrecTerrier.main(TrecTerrier.java:245)
P_5                   	754	0.2000
P_10                  	754	0.4000
P_15                  	754	0.4667
P_20                  	754	0.4000
P_30                  	754	0.3333
P_100                 	754	0.3200
P_200                 	754	0.2350
P_500                 	754	0.1660
P_1000                	754	0.1310
num_ret               	755	1000
num_rel               	755	36
num_rel_ret           	755	35
map                   	755	0.4744
Rprec                 	755	0.4444
bpref                 	755	0.4329
recip_rank            	755	1.0000
iprec_at_recall_0.00  	755	1.0000
iprec_at_recall_0.10  	755	1.0000
iprec_at_recall_0.20  	755	0.7273
iprec_at_recall_0.30  	755	0.7000
iprec_at_recall_0.40  	755	0.6522
iprec_at_recall_0.50  	755	0.4634
iprec_at_recall_0.60  	755	0.3286
iprec_at_recall_0.70  	755	0.2177
iprec_at_recall_0.80  	755	0.1546
iprec_at_recall_0.90  	755	0.1392
iprec_at_recall_1.00  	755	0.0000
P_5                   	755	0.8000
P_10                  	755	0.7000
P_15                  	755	0.6000
P_20                  	755	0.7000
P_30                  	755	0.5333
P_100                 	755	0.2500
P_200                 	755	0.1500
P_500                 	755	0.0660
P_1000                	755	0.0350
num_ret               	756	1000
num_rel               	756	396
num_rel_ret           	756	261
map                   	756	0.2579
Rprec                 	756	0.3965
bpref                 	756	0.4335
recip_rank            	756	0.2000
iprec_at_recall_0.00  	756	0.5870
iprec_at_recall_0.10  	756	0.4881
iprec_at_recall_0.20  	756	0.4098
iprec_at_recall_0.30  	756	0.4041
iprec_at_recall_0.40  	756	0.4041
iprec_at_recall_0.50  	756	0.3594
iprec_at_recall_0.60  	756	0.3149
iprec_at_recall_0.70  	756	0.0000
iprec_at_recall_0.80  	756	0.0000
iprec_at_recall_0.90  	756	0.0000
iprec_at_recall_1.00  	756	0.0000
P_5                   	756	0.2000
P_10                  	756	0.3000
P_15                  	756	0.2667
P_20                  	756	0.4000
P_30                  	756	0.5333
P_100                 	756	0.4400
P_200                 	756	0.3950
P_500                 	756	0.3740
P_1000                	756	0.2610
num_ret               	757	1000
num_rel               	757	388
num_rel_ret           	757	225
map                   	757	0.2439
Rprec                 	757	0.4098
bpref                 	757	0.3978
recip_rank            	757	1.0000
iprec_at_recall_0.00  	757	1.0000
iprec_at_recall_0.10  	757	0.4693
iprec_at_recall_0.20  	757	0.4693
iprec_at_recall_0.30  	757	0.4680
iprec_at_recall_0.40  	757	0.4160
iprec_at_recall_0.50  	757	0.2533
iprec_at_recall_0.60  	757	0.0000
iprec_at_recall_0.70  	757	0.0000
iprec_at_recall_0.80  	757	0.0000
iprec_at_recall_0.90  	757	0.0000
iprec_at_recall_1.00  	757	0.0000
P_5                   	757	0.8000
P_10                  	757	0.7000
P_15                  	757	0.7333
P_20                  	757	0.7000
P_30                  	757	0.7000
P_100                 	757	0.4000
P_200                 	757	0.4450
P_500                 	757	0.3380
P_1000                	757	0.2250
num_ret               	758	1000
num_rel               	758	372
num_rel_ret           	758	358
map                   	758	0.7055
Rprec                 	758	0.7097
bpref                 	758	0.7140
recip_rank            	758	1.0000
iprec_at_recall_0.00  	758	1.0000
iprec_at_recall_0.10  	758	0.8080
iprec_at_recall_0.20  	758	0.8080
iprec_at_recall_0.30  	758	0.8042
iprec_at_recall_0.40  	758	0.7806
iprec_at_recall_0.50  	758	0.7441
iprec_at_recall_0.60  	758	0.7150
iprec_at_recall_0.70  	758	0.7150
iprec_at_recall_0.80  	758	0.6986
iprec_at_recall_0.90  	758	0.5083
iprec_at_recall_1.00  	758	0.0000
P_5                   	758	1.0000
P_10                  	758	1.0000
P_15                  	758	1.0000
P_20                  	758	0.9000
P_30                  	758	0.8667
P_100                 	758	0.7900
P_200                 	758	0.7750
P_500                 	758	0.6360
P_1000                	758	0.3580
num_ret               	759	1000
num_rel               	759	91
num_rel_ret           	759	59
map                   	759	0.2607
Rprec                 	759	0.3297
bpref                 	759	0.2710
recip_rank            	759	1.0000
iprec_at_recall_0.00  	759	1.0000
iprec_at_recall_0.10  	759	0.8333
iprec_at_recall_0.20  	759	0.5128
iprec_at_recall_0.30  	759	0.3671
iprec_at_recall_0.40  	759	0.2375
iprec_at_recall_0.50  	759	0.1119
iprec_at_recall_0.60  	759	0.0754
iprec_at_recall_0.70  	759	0.0000
iprec_at_recall_0.80  	759	0.0000
iprec_at_recall_0.90  	759	0.0000
iprec_at_recall_1.00  	759	0.0000
P_5                   	759	0.8000
P_10                  	759	0.8000
P_15                  	759	0.7333
P_20                  	759	0.7500
P_30                  	759	0.5667
P_100                 	759	0.3000
P_200                 	759	0.2000
P_500                 	759	0.0980
P_1000                	759	0.0590
num_ret               	760	1000
num_rel               	760	115
num_rel_ret           	760	102
map                   	760	0.3345
Rprec                 	760	0.4000
bpref                 	760	0.3329
recip_rank            	760	1.0000
iprec_at_recall_0.00  	760	1.0000
iprec_at_recall_0.10  	760	0.5200
iprec_at_recall_0.20  	760	0.5156
iprec_at_recall_0.30  	760	0.5070
iprec_at_recall_0.40  	760	0.4000
iprec_at_recall_0.50  	760	0.3432
iprec_at_recall_0.60  	760	0.3067
iprec_at_recall_0.70  	760	0.2169
iprec_at_recall_0.80  	760	0.1919
iprec_at_recall_0.90  	760	0.0000
iprec_at_recall_1.00  	760	0.0000
P_5                   	760	0.8000
P_10                  	760	0.7000
P_15                  	760	0.6000
P_20                  	760	0.4500
P_30                  	760	0.4333
P_100                 	760	0.4500
P_200                 	760	0.3200
P_500                 	760	0.1900
P_1000                	760	0.1020
num_ret               	761	1000
num_rel               	761	254
num_rel_ret           	761	216
map                   	761	0.5193
Rprec                 	761	0.5512
bpref                 	761	0.5882
recip_rank            	761	1.0000
iprec_at_recall_0.00  	761	1.0000
iprec_at_recall_0.10  	761	0.8667
iprec_at_recall_0.20  	761	0.7200
iprec_at_recall_0.30  	761	0.6417
iprec_at_recall_0.40  	761	0.5989
iprec_at_recall_0.50  	761	0.5799
iprec_at_recall_0.60  	761	0.5368
iprec_at_recall_0.70  	761	0.4611
iprec_at_recall_0.80  	761	0.3183
iprec_at_recall_0.90  	761	0.0000
iprec_at_recall_1.00  	761	0.0000
P_5                   	761	1.0000
P_10                  	761	0.9000
P_15                  	761	0.9333
P_20                  	761	0.9000
P_30                  	761	0.8667
P_100                 	761	0.6700
P_200                 	761	0.5750
P_500                 	761	0.3880
P_1000                	761	0.2160
num_ret               	762	1000
num_rel               	762	108
num_rel_ret           	762	17
map                   	762	0.0149
Rprec                 	762	0.0741
bpref                 	762	0.0556
recip_rank            	762	0.0909
iprec_at_recall_0.00  	762	0.2667
iprec_at_recall_0.10  	762	0.0421
iprec_at_recall_0.20  	762	0.0000
iprec_at_recall_0.30  	762	0.0000
iprec_at_recall_0.40  	762	0.0000
iprec_at_recall_0.50  	762	0.0000
iprec_at_recall_0.60  	762	0.0000
iprec_at_recall_0.70  	762	0.0000
iprec_at_recall_0.80  	762	0.0000
iprec_at_recall_0.90  	762	0.0000
iprec_at_recall_1.00  	762	0.0000
P_5                   	762	0.0000
P_10                  	762	0.0000
P_15                  	762	0.2667
P_20                  	762	0.2500
P_30                  	762	0.1667
P_100                 	762	0.0700
P_200                 	762	0.0400
P_500                 	762	0.0260
P_1000                	762	0.0170
num_ret               	763	1000
num_rel               	763	207
num_rel_ret           	763	86
map                   	763	0.2405
Rprec                 	763	0.2802
bpref                 	763	0.3431
recip_rank            	763	1.0000
iprec_at_recall_0.00  	763	1.0000
iprec_at_recall_0.10  	763	1.0000
iprec_at_recall_0.20  	763	0.4941
iprec_at_recall_0.30  	763	0.1787
iprec_at_recall_0.40  	763	0.1020
iprec_at_recall_0.50  	763	0.0000
iprec_at_recall_0.60  	763	0.0000
iprec_at_recall_0.70  	763	0.0000
iprec_at_recall_0.80  	763	0.0000
iprec_at_recall_0.90  	763	0.0000
iprec_at_recall_1.00  	763	0.0000
P_5                   	763	1.0000
P_10                  	763	1.0000
P_15                  	763	1.0000
P_20                  	763	1.0000
P_30                  	763	1.0000
P_100                 	763	0.4700
P_200                 	763	0.2900
P_500                 	763	0.1320
P_1000                	763	0.0860
num_ret               	764	1000
num_rel               	764	338
num_rel_ret           	764	207
map                   	764	0.2414
Rprec                 	764	0.3343
bpref                 	764	0.3751
recip_rank            	764	1.0000
iprec_at_recall_0.00  	764	1.0000
iprec_at_recall_0.10  	764	0.5067
iprec_at_recall_0.20  	764	0.4181
iprec_at_recall_0.30  	764	0.3838
iprec_at_recall_0.40  	764	0.3105
iprec_at_recall_0.50  	764	0.2421
iprec_at_recall_0.60  	764	0.2130
iprec_at_recall_0.70  	764	0.0000
iprec_at_recall_0.80  	764	0.0000
iprec_at_recall_0.90  	764	0.0000
iprec_at_recall_1.00  	764	0.0000
P_5                   	764	0.8000
P_10                  	764	0.9000
P_15                  	764	0.6667
P_20                  	764	0.6000
P_30                  	764	0.5667
P_100                 	764	0.4900
P_200                 	764	0.4050
P_500                 	764	0.2920
P_1000                	764	0.2070
num_ret               	765	1000
num_rel               	765	107
num_rel_ret           	765	107
map                   	765	0.5151
Rprec                 	765	0.4579
bpref                 	765	0.4306
recip_rank            	765	1.0000
iprec_at_recall_0.00  	765	1.0000
iprec_at_recall_0.10  	765	1.0000
iprec_at_recall_0.20  	765	0.6875
iprec_at_recall_0.30  	765	0.6111
iprec_at_recall_0.40  	765	0.5375
iprec_at_recall_0.50  	765	0.4463
iprec_at_recall_0.60  	765	0.3592
iprec_at_recall_0.70  	765	0.3521
iprec_at_recall_0.80  	765	0.3282
iprec_at_recall_0.90  	765	0.3050
iprec_at_recall_1.00  	765	0.1769
P_5                   	765	1.0000
P_10                  	765	1.0000
P_15                  	765	0.8667
P_20                  	765	0.8500
P_30                  	765	0.6667
P_100                 	765	0.4800
P_200                 	765	0.3550
P_500                 	765	0.2080
P_1000                	765	0.1070
num_ret               	766	1000
num_rel               	766	232
num_rel_ret           	766	196
map                   	766	0.6692
Rprec                 	766	0.6509
bpref                 	766	0.7554
recip_rank            	766	1.0000
iprec_at_recall_0.00  	766	1.0000
iprec_at_recall_0.10  	766	1.0000
iprec_at_recall_0.20  	766	0.9630
iprec_at_recall_0.30  	766	0.9048
iprec_at_recall_0.40  	766	0.8378
iprec_at_recall_0.50  	766	0.7821
iprec_at_recall_0.60  	766	0.7487
iprec_at_recall_0.70  	766	0.6293
iprec_at_recall_0.80  	766	0.3464
iprec_at_recall_0.90  	766	0.0000
iprec_at_recall_1.00  	766	0.0000
P_5                   	766	1.0000
P_10                  	766	1.0000
P_15                  	766	1.0000
P_20                  	766	1.0000
P_30                  	766	1.0000
P_100                 	766	0.8800
P_200                 	766	0.7200
P_500                 	766	0.3660
P_1000                	766	0.1960
num_ret               	767	1000
num_rel               	767	515
num_rel_ret           	767	341
map                   	767	0.3994
Rprec                 	767	0.5068
bpref                 	767	0.5359
recip_rank            	767	1.0000
iprec_at_recall_0.00  	767	1.0000
iprec_at_recall_0.10  	767	0.7568
iprec_at_recall_0.20  	767	0.6546
iprec_at_recall_0.30  	767	0.6142
iprec_at_recall_0.40  	767	0.5620
iprec_at_recall_0.50  	767	0.5078
iprec_at_recall_0.60  	767	0.4153
iprec_at_recall_0.70  	767	0.0000
iprec_at_recall_0.80  	767	0.0000
iprec_at_recall_0.90  	767	0.0000
iprec_at_recall_1.00  	767	0.0000
P_5                   	767	1.0000
P_10                  	767	0.9000
P_15                  	767	0.9333
P_20                  	767	0.9500
P_30                  	767	0.8333
P_100                 	767	0.7000
P_200                 	767	0.6450
P_500                 	767	0.5100
P_1000                	767	0.3410
num_ret               	768	1000
num_rel               	768	105
num_rel_ret           	768	75
map                   	768	0.2681
Rprec                 	768	0.2857
bpref                 	768	0.2662
recip_rank            	768	0.5000
iprec_at_recall_0.00  	768	0.8571
iprec_at_recall_0.10  	768	0.8571
iprec_at_recall_0.20  	768	0.5946
iprec_at_recall_0.30  	768	0.2963
iprec_at_recall_0.40  	768	0.2727
iprec_at_recall_0.50  	768	0.2199
iprec_at_recall_0.60  	768	0.1489
iprec_at_recall_0.70  	768	0.0797
iprec_at_recall_0.80  	768	0.0000
iprec_at_recall_0.90  	768	0.0000
iprec_at_recall_1.00  	768	0.0000
P_5                   	768	0.6000
P_10                  	768	0.8000
P_15                  	768	0.8000
P_20                  	768	0.8000
P_30                  	768	0.5667
P_100                 	768	0.2900
P_200                 	768	0.2500
P_500                 	768	0.1300
P_1000                	768	0.0750
num_ret               	769	1000
num_rel               	769	51
num_rel_ret           	769	17
map                   	769	0.0065
Rprec                 	769	0.0196
bpref                 	769	0.0150
recip_rank            	769	0.0769
iprec_at_recall_0.00  	769	0.0769
iprec_at_recall_0.10  	769	0.0185
iprec_at_recall_0.20  	769	0.0185
iprec_at_recall_0.30  	769	0.0185
iprec_at_recall_0.40  	769	0.0000
iprec_at_recall_0.50  	769	0.0000
iprec_at_recall_0.60  	769	0.0000
iprec_at_recall_0.70  	769	0.0000
iprec_at_recall_0.80  	769	0.0000
iprec_at_recall_0.90  	769	0.0000
iprec_at_recall_1.00  	769	0.0000
P_5                   	769	0.0000
P_10                  	769	0.0000
P_15                  	769	0.0667
P_20                  	769	0.0500
P_30                  	769	0.0333
P_100                 	769	0.0200
P_200                 	769	0.0150
P_500                 	769	0.0120
P_1000                	769	0.0170
num_ret               	770	1000
num_rel               	770	317
num_rel_ret           	770	270
map                   	770	0.4898
Rprec                 	770	0.5110
bpref                 	770	0.6627
recip_rank            	770	1.0000
iprec_at_recall_0.00  	770	1.0000
iprec_at_recall_0.10  	770	0.8095
iprec_at_recall_0.20  	770	0.7333
iprec_at_recall_0.30  	770	0.6735
iprec_at_recall_0.40  	770	0.6262
iprec_at_recall_0.50  	770	0.5372
iprec_at_recall_0.60  	770	0.4591
iprec_at_recall_0.70  	770	0.3874
iprec_at_recall_0.80  	770	0.3665
iprec_at_recall_0.90  	770	0.0000
iprec_at_recall_1.00  	770	0.0000
P_5                   	770	0.8000
P_10                  	770	0.6000
P_15                  	770	0.6667
P_20                  	770	0.6500
P_30                  	770	0.7667
P_100                 	770	0.7200
P_200                 	770	0.6250
P_500                 	770	0.4220
P_1000                	770	0.2700
num_ret               	771	1000
num_rel               	771	121
num_rel_ret           	771	115
map                   	771	0.5845
Rprec                 	771	0.5702
bpref                 	771	0.5598
recip_rank            	771	1.0000
iprec_at_recall_0.00  	771	1.0000
iprec_at_recall_0.10  	771	0.9333
iprec_at_recall_0.20  	771	0.8438
iprec_at_recall_0.30  	771	0.7551
iprec_at_recall_0.40  	771	0.7206
iprec_at_recall_0.50  	771	0.6598
iprec_at_recall_0.60  	771	0.5489
iprec_at_recall_0.70  	771	0.4749
iprec_at_recall_0.80  	771	0.3191
iprec_at_recall_0.90  	771	0.1985
iprec_at_recall_1.00  	771	0.0000
P_5                   	771	1.0000
P_10                  	771	1.0000
P_15                  	771	0.9333
P_20                  	771	0.9000
P_30                  	771	0.8333
P_100                 	771	0.6500
P_200                 	771	0.4350
P_500                 	771	0.2100
P_1000                	771	0.1150
num_ret               	772	1000
num_rel               	772	171
num_rel_ret           	772	140
map                   	772	0.4763
Rprec                 	772	0.4854
bpref                 	772	0.5104
recip_rank            	772	1.0000
iprec_at_recall_0.00  	772	1.0000
iprec_at_recall_0.10  	772	0.9583
iprec_at_recall_0.20  	772	0.8085
iprec_at_recall_0.30  	772	0.7429
iprec_at_recall_0.40  	772	0.5882
iprec_at_recall_0.50  	772	0.4677
iprec_at_recall_0.60  	772	0.3604
iprec_at_recall_0.70  	772	0.3096
iprec_at_recall_0.80  	772	0.1536
iprec_at_recall_0.90  	772	0.0000
iprec_at_recall_1.00  	772	0.0000
P_5                   	772	0.8000
P_10                  	772	0.9000
P_15                  	772	0.9333
P_20                  	772	0.9500
P_30                  	772	0.8333
P_100                 	772	0.6300
P_200                 	772	0.4450
P_500                 	772	0.2520
P_1000                	772	0.1400
num_ret               	773	1000
num_rel               	773	91
num_rel_ret           	773	88
map                   	773	0.8689
Rprec                 	773	0.7802
bpref                 	773	0.8591
recip_rank            	773	1.0000
iprec_at_recall_0.00  	773	1.0000
iprec_at_recall_0.10  	773	1.0000
iprec_at_recall_0.20  	773	1.0000
iprec_at_recall_0.30  	773	1.0000
iprec_at_recall_0.40  	773	1.0000
iprec_at_recall_0.50  	773	1.0000
iprec_at_recall_0.60  	773	0.9016
iprec_at_recall_0.70  	773	0.8767
iprec_at_recall_0.80  	773	0.7708
iprec_at_recall_0.90  	773	0.6288
iprec_at_recall_1.00  	773	0.0000
P_5                   	773	1.0000
P_10                  	773	1.0000
P_15                  	773	1.0000
P_20                  	773	1.0000
P_30                  	773	1.0000
P_100                 	773	0.7400
P_200                 	773	0.4350
P_500                 	773	0.1760
P_1000                	773	0.0880
num_ret               	774	1000
num_rel               	774	357
num_rel_ret           	774	251
map                   	774	0.3579
Rprec                 	774	0.4818
bpref                 	774	0.4973
recip_rank            	774	1.0000
iprec_at_recall_0.00  	774	1.0000
iprec_at_recall_0.10  	774	0.6087
iprec_at_recall_0.20  	774	0.5425
iprec_at_recall_0.30  	774	0.5213
iprec_at_recall_0.40  	774	0.5207
iprec_at_recall_0.50  	774	0.4853
iprec_at_recall_0.60  	774	0.4149
iprec_at_recall_0.70  	774	0.2569
iprec_at_recall_0.80  	774	0.0000
iprec_at_recall_0.90  	774	0.0000
iprec_at_recall_1.00  	774	0.0000
P_5                   	774	0.8000
P_10                  	774	0.6000
P_15                  	774	0.6000
P_20                  	774	0.6500
P_30                  	774	0.6667
P_100                 	774	0.5300
P_200                 	774	0.5300
P_500                 	774	0.4220
P_1000                	774	0.2510
num_ret               	775	1000
num_rel               	775	559
num_rel_ret           	775	433
map                   	775	0.5807
Rprec                 	775	0.6333
bpref                 	775	0.7009
recip_rank            	775	1.0000
iprec_at_recall_0.00  	775	1.0000
iprec_at_recall_0.10  	775	0.8934
iprec_at_recall_0.20  	775	0.8908
iprec_at_recall_0.30  	775	0.8785
iprec_at_recall_0.40  	775	0.8246
iprec_at_recall_0.50  	775	0.7487
iprec_at_recall_0.60  	775	0.6680
iprec_at_recall_0.70  	775	0.6099
iprec_at_recall_0.80  	775	0.0000
iprec_at_recall_0.90  	775	0.0000
iprec_at_recall_1.00  	775	0.0000
P_5                   	775	0.6000
P_10                  	775	0.4000
P_15                  	775	0.4000
P_20                  	775	0.5000
P_30                  	775	0.5667
P_100                 	775	0.8700
P_200                 	775	0.8700
P_500                 	775	0.6680
P_1000                	775	0.4330
num_ret               	776	1000
num_rel               	776	124
num_rel_ret           	776	111
map                   	776	0.3427
Rprec                 	776	0.3952
bpref                 	776	0.3190
recip_rank            	776	1.0000
iprec_at_recall_0.00  	776	1.0000
iprec_at_recall_0.10  	776	0.5652
iprec_at_recall_0.20  	776	0.4464
iprec_at_recall_0.30  	776	0.4369
iprec_at_recall_0.40  	776	0.3968
iprec_at_recall_0.50  	776	0.3669
iprec_at_recall_0.60  	776	0.3305
iprec_at_recall_0.70  	776	0.2759
iprec_at_recall_0.80  	776	0.2618
iprec_at_recall_0.90  	776	0.0000
iprec_at_recall_1.00  	776	0.0000
P_5                   	776	0.6000
P_10                  	776	0.5000
P_15                  	776	0.6000
P_20                  	776	0.6000
P_30                  	776	0.5000
P_100                 	776	0.4200
P_200                 	776	0.3350
P_500                 	776	0.2120
P_1000                	776	0.1110
num_ret               	777	1000
num_rel               	777	218
num_rel_ret           	777	174
map                   	777	0.3218
Rprec                 	777	0.4266
bpref                 	777	0.3816
recip_rank            	777	0.1250
iprec_at_recall_0.00  	777	0.5455
iprec_at_recall_0.10  	777	0.4912
iprec_at_recall_0.20  	777	0.4701
iprec_at_recall_0.30  	777	0.4659
iprec_at_recall_0.40  	777	0.4306
iprec_at_recall_0.50  	777	0.3870
iprec_at_recall_0.60  	777	0.3654
iprec_at_recall_0.70  	777	0.3516
iprec_at_recall_0.80  	777	0.0000
iprec_at_recall_0.90  	777	0.0000
iprec_at_recall_1.00  	777	0.0000
P_5                   	777	0.0000
P_10                  	777	0.3000
P_15                  	777	0.4000
P_20                  	777	0.4500
P_30                  	777	0.5000
P_100                 	777	0.4300
P_200                 	777	0.4200
P_500                 	777	0.3140
P_1000                	777	0.1740
num_ret               	778	1000
num_rel               	778	37
num_rel_ret           	778	22
map                   	778	0.2281
Rprec                 	778	0.2432
bpref                 	778	0.2294
recip_rank            	778	1.0000
iprec_at_recall_0.00  	778	1.0000
iprec_at_recall_0.10  	778	0.8000
iprec_at_recall_0.20  	778	0.5714
iprec_at_recall_0.30  	778	0.2034
iprec_at_recall_0.40  	778	0.1852
iprec_at_recall_0.50  	778	0.1557
iprec_at_recall_0.60  	778	0.0000
iprec_at_recall_0.70  	778	0.0000
iprec_at_recall_0.80  	778	0.0000
iprec_at_recall_0.90  	778	0.0000
iprec_at_recall_1.00  	778	0.0000
P_5                   	778	0.8000
P_10                  	778	0.5000
P_15                  	778	0.5333
P_20                  	778	0.4500
P_30                  	778	0.3000
P_100                 	778	0.1500
P_200                 	778	0.1000
P_500                 	778	0.0420
P_1000                	778	0.0220
num_ret               	779	1000
num_rel               	779	224
num_rel_ret           	779	193
map                   	779	0.5354
Rprec                 	779	0.5357
bpref                 	779	0.6090
recip_rank            	779	1.0000
iprec_at_recall_0.00  	779	1.0000
iprec_at_recall_0.10  	779	0.9655
iprec_at_recall_0.20  	779	0.8824
iprec_at_recall_0.30  	779	0.7778
iprec_at_recall_0.40  	779	0.6207
iprec_at_recall_0.50  	779	0.5411
iprec_at_recall_0.60  	779	0.4245
iprec_at_recall_0.70  	779	0.3230
iprec_at_recall_0.80  	779	0.2582
iprec_at_recall_0.90  	779	0.0000
iprec_at_recall_1.00  	779	0.0000
P_5                   	779	1.0000
P_10                  	779	1.0000
P_15                  	779	0.9333
P_20                  	779	0.9500
P_30                  	779	0.9333
P_100                 	779	0.7500
P_200                 	779	0.5450
P_500                 	779	0.3220
P_1000                	779	0.1930
num_ret               	780	1000
num_rel               	780	540
num_rel_ret           	780	359
map                   	780	0.3884
Rprec                 	780	0.4889
bpref                 	780	0.5335
recip_rank            	780	1.0000
iprec_at_recall_0.00  	780	1.0000
iprec_at_recall_0.10  	780	0.6917
iprec_at_recall_0.20  	780	0.6917
iprec_at_recall_0.30  	780	0.6917
iprec_at_recall_0.40  	780	0.6117
iprec_at_recall_0.50  	780	0.4804
iprec_at_recall_0.60  	780	0.4235
iprec_at_recall_0.70  	780	0.0000
iprec_at_recall_0.80  	780	0.0000
iprec_at_recall_0.90  	780	0.0000
iprec_at_recall_1.00  	780	0.0000
P_5                   	780	0.8000
P_10                  	780	0.7000
P_15                  	780	0.6000
P_20                  	780	0.7000
P_30                  	780	0.6667
P_100                 	780	0.6400
P_200                 	780	0.6650
P_500                 	780	0.5040
P_1000                	780	0.3590
num_ret               	781	1000
num_rel               	781	555
num_rel_ret           	781	425
map                   	781	0.5034
Rprec                 	781	0.5532
bpref                 	781	0.6229
recip_rank            	781	1.0000
